id,created_by,created_date,last_modified_by,last_modified_date,amount,error_description,status,type,harvest_year,harvest_id,distribution_origin_id,private_ucs_amount,public_ucs_amount
5404,1,2017-11-06 00:00:00,,,57,,FINISHED,REPARTITION_HARVEST,2010,,,57,0
5405,1,2017-11-06 00:00:00,,,648,,FINISHED,REPARTITION_HARVEST,2010,,,648,0
5406,1,2017-11-06 00:00:00,,,393,,FINISHED,REPARTITION_HARVEST,2010,,,393,0
5407,1,2017-11-06 00:00:00,,,1667,,FINISHED,REPARTITION_HARVEST,2010,,,1667,0
5408,1,2017-11-06 00:00:00,,,238,,FINISHED,REPARTITION_HARVEST,2010,,,238,0
5409,1,2017-11-06 00:00:00,,,1979,,FINISHED,REPARTITION_HARVEST,2010,,,1979,0
5410,1,2017-11-06 00:00:00,,,993,,FINISHED,REPARTITION_HARVEST,2010,,,993,0
5411,1,2017-11-06 00:00:00,,,8428,,FINISHED,REPARTITION_HARVEST,2010,,,8428,0
5412,1,2017-11-06 00:00:00,,,325,,FINISHED,REPARTITION_HARVEST,2010,,,325,0
5413,1,2017-11-06 00:00:00,,,65,,FINISHED,REPARTITION_HARVEST,2010,,,65,0
5414,1,2017-11-06 00:00:00,,,45,,FINISHED,REPARTITION_HARVEST,2010,,,45,0
5415,1,2017-11-06 00:00:00,,,57,,FINISHED,REPARTITION_HARVEST,2010,,,57,0
5416,1,2017-11-06 00:00:00,,,1284,,FINISHED,REPARTITION_HARVEST,2010,,,1284,0
5417,1,2017-11-06 00:00:00,,,869,,FINISHED,REPARTITION_HARVEST,2010,,,869,0
5418,1,2017-11-06 00:00:00,,,26,,FINISHED,REPARTITION_HARVEST,2010,,,26,0
5419,1,2017-11-06 00:00:00,,,227,,FINISHED,REPARTITION_HARVEST,2010,,,227,0
5420,1,2017-11-06 00:00:00,,,12190,,FINISHED,REPARTITION_HARVEST,2010,,,12190,0
5421,1,2017-11-06 00:00:00,,,398,,FINISHED,REPARTITION_HARVEST,2010,,,398,0
5422,1,2017-11-06 00:00:00,,,3115,,FINISHED,REPARTITION_HARVEST,2010,,,3115,0
