id,available_balance,reserved_balance,blocked_balance,retired_balance,user_id,updated_on,platform_id
18507,12698,0,7,0,332,2024-11-25 10:31:38.452228,4
18458,670939,0,0,0,1109,2025-07-01 13:40:44.53669,4
18547,868,0,0,0,390,2024-11-25 10:38:18.441121,4
25074,17500,0,0,0,2288,2025-06-24 16:06:24.548279,4
19056,0,0,0,0,708,2025-07-21 17:52:26.605377,2
23398,1798,0,0,7722,2123,2025-05-15 10:27:03.450195,4
18644,0,0,17,0,517,2023-03-16 16:17:55.728496,3
22617,171707,0,0,0,1891,2023-10-27 15:56:58.480104,2
19022,60686,0,0,0,645,2024-01-03 17:32:29.104692,2
18647,0,0,0,0,469,2022-09-06 18:17:58.325057,4
18655,0,0,0,0,585,2022-09-06 18:17:58.325057,2
18659,53805,0,0,0,286,2023-08-25 11:40:23.106196,2
18538,0,0,0,0,632,2022-09-06 18:17:58.325057,2
18660,11,0,0,0,647,2022-12-14 15:08:15.37554,4
18664,0,0,0,0,44,2022-09-06 18:17:58.325057,1
23047,1548,0,0,0,2008,2024-04-04 14:56:40.562278,2
18674,27194,0,0,0,262,2023-06-05 11:27:15.222475,2
18671,0,0,0,0,677,2022-09-06 18:17:58.325057,4
18670,18,0,0,0,583,2023-08-15 10:45:43.086542,4
18669,81,0,0,0,602,2023-09-20 14:32:33.570132,2
18675,1250,0,0,0,1144,2023-01-10 17:29:19.86568,4
24991,1500,0,0,0,2244,2025-02-19 15:09:33.46927,2
18680,0,0,0,0,607,2022-09-21 12:19:22.763445,4
23254,0,0,0,1,2082,2024-07-04 16:46:00.84834,4
18681,0,0,0,0,378,2022-09-06 18:17:58.325057,1
18690,1619,0,0,0,218,2023-07-13 18:18:36.072235,2
23241,0,0,0,42,1752,2024-07-05 17:33:25.82295,4
18686,0,0,0,0,555,2023-02-06 11:05:05.148751,3
18687,0,0,0,0,386,2022-09-06 18:17:58.325057,1
19172,0,3,0,0,356,2024-12-13 12:38:23.544408,3
18689,0,0,0,0,122,2022-09-06 18:17:58.325057,1
18693,0,0,22,0,639,2023-03-16 16:18:04.180009,4
21725,0,0,0,2,1672,2024-08-27 15:16:25.919336,3
18698,0,0,27,0,592,2023-03-16 16:18:48.567813,4
18705,0,0,0,0,302,2022-09-06 18:17:58.325057,1
18706,0,0,0,0,270,2022-09-06 18:17:58.325057,1
18708,0,0,0,0,183,2023-02-06 11:05:05.148751,3
18709,0,0,0,0,156,2022-09-06 18:17:58.325057,1
18710,0,0,141468,0,104,2023-03-16 16:27:09.916691,2
18712,0,0,14620,0,160,2023-03-16 16:29:10.788323,2
18697,1443,0,0,0,72,2024-11-25 08:56:38.449713,4
18721,0,0,48662,0,10,2023-03-16 16:23:51.170837,2
18722,0,0,0,0,588,2022-09-06 18:17:58.325057,2
