id,remittance_id,bill_to_pay_id,transfer_to_id,variation,created_by,created_date,last_modified_by,last_modified_date
1306,150,1106,44,0.00,890,2022-12-15 09:57:45.505425,890,2022-12-15 09:57:45.505425
1307,150,1108,91,0.00,890,2022-12-15 09:57:45.505843,890,2022-12-15 09:57:45.505843
1322,153,1117,327,0.00,890,2022-12-15 15:17:28.402756,890,2022-12-15 15:17:28.402756
1341,156,1124,417,0.00,890,2022-12-16 10:33:00.366145,890,2022-12-16 10:33:00.366145
1342,156,1125,417,0.00,890,2022-12-16 10:33:00.367336,890,2022-12-16 10:33:00.367336
1344,157,1126,35,0.00,890,2022-12-16 11:19:25.731713,890,2022-12-16 11:19:25.731713
1347,158,1130,424,0.00,890,2022-12-19 08:24:11.55992,890,2022-12-19 08:24:11.55992
1348,158,1129,97,0.00,890,2022-12-19 08:24:11.560621,890,2022-12-19 08:24:11.560621
1351,159,1133,46,0.00,890,2022-12-19 09:04:08.433662,890,2022-12-19 09:04:08.433662
1352,159,1132,50,0.00,890,2022-12-19 09:04:08.43455,890,2022-12-19 09:04:08.43455
1355,160,1136,35,0.00,890,2022-12-19 09:30:33.047837,890,2022-12-19 09:30:33.047837
1356,160,1134,1,0.00,890,2022-12-19 09:30:33.049372,890,2022-12-19 09:30:33.049372
