id,issuer_id,recipient_id,ucs_transfer_amount,distribution_id,status,observations,created_by,created_date,last_modified_by,last_modified_date,reason_description,type_reason,origin_platform_id,recipient_platform_id
1371,3,86,13709,38454,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 9968",933,2023-07-06 19:55:17.972418,0,2024-11-25 08:56:26.833218,,,4,4
1372,3,86,8960,38453,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 9969",933,2023-07-06 19:55:26.319306,0,2024-11-25 08:56:26.811246,,,4,4
1373,3,88,30921,38430,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 10012",933,2023-07-06 19:55:34.656441,0,2024-11-25 08:56:26.788137,,,4,4
1374,3,88,32966,38429,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 18548",933,2023-07-06 19:55:43.036877,0,2024-11-25 08:56:26.796282,,,4,4
1375,3,88,4609,38428,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27385",933,2023-07-06 19:55:51.241796,0,2024-11-25 08:56:26.774724,,,4,4
1376,3,90,688,38426,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 10013",933,2023-07-06 19:55:59.564357,0,2024-11-25 08:56:26.757467,,,4,4
1377,3,90,733,38425,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 18549",933,2023-07-06 19:56:07.744893,0,2024-11-25 08:56:26.73975,,,4,4
1378,3,90,102,38422,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27386",933,2023-07-06 19:56:15.883822,0,2024-11-25 08:56:26.710961,,,4,4
911,3,400,729,38894,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 18701",933,2023-07-06 18:50:45.003414,933,2024-11-25 08:58:50.697167,,,4,4
1380,3,92,41521,38432,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27343",933,2023-07-06 19:56:32.803215,0,2024-11-25 08:56:26.674706,,,4,4
