id,supply_type,payment_date,start_date,end_date,register_bank_id,file_generated,response_read,created_by,created_date,last_modified_by,last_modified_date
106,OTHER,2022-11-25 00:00:00,2022-11-23 21:00:00,2022-12-25 21:00:00,1,t,f,890,2022-11-25 10:36:39.566778,890,2022-11-25 10:37:28.055975
117,OTHER,2022-12-02 00:00:00,2022-11-30 21:00:00,2022-12-02 21:00:00,2,t,t,890,2022-12-02 09:43:39.574048,890,2022-12-02 09:43:55.141489
112,OTHER,2022-11-30 00:00:00,2022-11-28 21:00:00,2022-11-30 21:00:00,1,t,t,890,2022-11-30 08:15:57.10659,890,2022-11-30 08:16:31.689193
119,OTHER,2022-12-02 00:00:00,2022-11-30 21:00:00,2022-12-02 21:00:00,1,t,t,890,2022-12-02 12:57:54.702039,890,2022-12-02 12:58:00.500074
111,OTHER,2022-11-30 00:00:00,2022-11-28 21:00:00,2022-11-30 21:00:00,1,t,t,890,2022-11-29 16:25:39.769895,890,2022-11-30 08:08:33.012802
113,OTHER,2022-11-30 00:00:00,2022-11-28 21:00:00,2022-11-30 21:00:00,1,t,t,890,2022-11-30 09:15:33.079765,890,2022-11-30 09:16:21.408063
129,OTHER,2022-12-07 00:00:00,2022-12-05 21:00:00,2022-12-07 21:00:00,1,t,t,890,2022-12-07 09:15:39.303019,890,2022-12-07 09:16:08.566053
110,OTHER,2022-11-29 00:00:00,2022-11-27 21:00:00,2022-12-12 21:00:00,1,t,t,890,2022-11-29 12:03:41.046371,890,2022-11-29 12:04:17.147174
124,OTHER,2022-12-06 00:00:00,2022-12-04 21:00:00,2022-12-06 21:00:00,1,t,t,890,2022-12-06 08:17:52.479256,890,2022-12-06 08:18:33.428978
130,OTHER,2022-12-07 00:00:00,2022-12-05 21:00:00,2022-12-07 21:00:00,2,t,t,890,2022-12-07 14:22:29.603061,890,2022-12-07 14:22:38.49683
125,OTHER,2022-12-06 00:00:00,2022-12-04 21:00:00,2022-12-06 21:00:00,2,t,t,890,2022-12-06 10:27:52.751173,890,2022-12-06 10:28:02.567824
120,OTHER,2022-12-02 00:00:00,2022-11-29 21:00:00,2022-12-16 21:00:00,1,t,t,890,2022-12-02 13:38:12.196708,890,2022-12-02 13:38:22.144653
121,OTHER,2022-12-05 00:00:00,2022-12-01 21:00:00,2022-12-05 21:00:00,1,t,t,890,2022-12-05 10:52:03.502855,890,2022-12-05 10:53:27.453157
123,OTHER,2022-12-05 00:00:00,2022-12-02 21:00:00,2022-12-05 21:00:00,1,t,t,890,2022-12-05 12:58:29.357709,890,2022-12-05 12:58:50.099092
126,OTHER,2022-12-06 00:00:00,2022-12-04 21:00:00,2022-12-07 21:00:00,1,t,t,890,2022-12-06 10:30:32.805985,890,2022-12-06 10:30:41.254334
131,ASSETS,2022-12-07 00:00:00,2022-12-08 21:00:00,2022-12-10 21:00:00,2,t,f,890,2022-12-07 14:46:49.722814,890,2022-12-07 14:47:15.889312
128,OTHER,2022-12-06 00:00:00,2022-12-04 21:00:00,2022-12-06 21:00:00,1,t,t,890,2022-12-06 11:53:21.81777,890,2022-12-06 11:53:29.430622
132,OTHER,2022-12-08 00:00:00,2022-12-06 21:00:00,2022-12-08 21:00:00,1,t,t,890,2022-12-08 09:33:50.573617,890,2022-12-08 09:33:58.630529
133,OTHER,2022-12-08 00:00:00,2022-11-29 21:00:00,2022-12-21 21:00:00,1,t,t,890,2022-12-08 11:46:35.667733,890,2022-12-08 11:46:45.514404
134,OTHER,2022-12-09 00:00:00,2022-12-07 21:00:00,2023-01-07 21:00:00,1,t,t,890,2022-12-09 08:14:54.181308,890,2022-12-09 08:15:08.125696
135,OTHER,2022-12-12 00:00:00,2022-12-08 21:00:00,2022-12-12 21:00:00,1,t,t,890,2022-12-12 09:55:30.299659,890,2022-12-12 09:55:50.124073
136,ASSETS,2022-12-12 00:00:00,2022-12-08 21:00:00,2022-12-10 21:00:00,2,t,f,890,2022-12-12 12:21:44.791933,890,2022-12-12 12:21:58.697298
137,OTHER,2022-12-12 00:00:00,2022-12-10 21:00:00,2022-12-12 21:00:00,1,t,t,890,2022-12-12 12:30:18.768825,890,2022-12-12 12:42:37.794502
138,OTHER,2022-12-13 00:00:00,2022-12-11 21:00:00,2023-01-11 21:00:00,1,t,t,890,2022-12-13 09:23:18.456403,890,2022-12-13 09:27:03.537077
163,OTHER,2022-12-20 00:00:00,2022-12-18 21:00:00,2022-12-20 21:00:00,1,t,t,890,2022-12-20 08:25:49.38886,890,2022-12-20 08:32:03.496242
141,OTHER,2022-12-13 00:00:00,2022-12-11 21:00:00,2022-12-13 21:00:00,1,t,t,890,2022-12-13 12:21:39.016036,890,2022-12-13 12:21:49.568258
161,OTHER,2022-12-19 00:00:00,2022-12-17 21:00:00,2022-12-19 21:00:00,1,t,t,1406,2022-12-19 09:45:32.489354,890,2022-12-19 09:48:09.067377
162,OTHER,2022-12-19 00:00:00,2022-12-17 21:00:00,2022-12-19 21:00:00,1,t,t,1406,2022-12-19 14:11:36.301127,1406,2022-12-19 14:12:41.527009
150,OTHER,2022-12-15 00:00:00,2022-12-10 21:00:00,2022-12-20 21:00:00,1,t,t,1406,2022-12-15 09:42:14.126663,890,2022-12-15 09:57:45.481787
157,OTHER,2022-12-16 00:00:00,2022-12-18 21:00:00,2022-12-20 21:00:00,1,t,t,890,2022-12-16 11:16:02.687261,890,2022-12-16 11:19:25.71981
151,ASSETS,2022-12-15 00:00:00,2023-01-07 21:00:00,2023-01-10 21:00:00,2,t,t,1406,2022-12-15 14:36:54.341141,890,2022-12-15 14:38:38.901464
152,OTHER,2022-12-15 00:00:00,2022-12-13 21:00:00,2022-12-20 21:00:00,1,t,t,890,2022-12-15 15:02:59.325259,890,2022-12-15 15:03:53.064425
164,OTHER,2022-12-20 00:00:00,2022-12-18 21:00:00,2022-12-20 21:00:00,1,t,t,890,2022-12-20 08:47:33.810247,890,2022-12-20 08:48:17.650568
165,OTHER,2022-12-20 00:00:00,2022-12-18 21:00:00,2022-12-20 21:00:00,1,t,t,890,2022-12-20 10:14:47.982849,890,2022-12-20 10:15:01.951891
