id,data,transaction_id,status,ref
226,,14055460601371830920,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
227,,2995523317541822998,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
228,,5039093093283488120,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
229,,1012764430959558369,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
230,,18434178740273311093,APPROVED,CERTIFICATE_TESOURO_VERDE
231,,15306318676285895020,APPROVED,CERTIFICATE_TESOURO_VERDE
232,,11062914922698603442,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
233,,16080485240643175941,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
234,,756645216894880901,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
235,,5038305933452478697,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
236,,2613651548241194326,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
237,,1609570098933597677,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
238,,12700054767386943224,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
239,,12258076991150184218,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
240,,5160820273843377900,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
241,,10647506465895205123,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
242,,10951957811929005731,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
243,,17326532514262899074,APPROVED,CERTIFICATE_TESOURO_VERDE
244,,9349919756855349841,APPROVED,CERTIFICATE_TESOURO_VERDE
245,,7351224689985496781,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
246,,15681111897845278409,APPROVED,CERTIFICATE_TESOURO_VERDE
247,,1273707622153091940,APPROVED,CERTIFICATE_TESOURO_VERDE
248,,16906212761806151163,APPROVED,CERTIFICATE_TESOURO_VERDE
249,,11387840316207805201,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
250,,8592364632419981303,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
251,,9677312105433838011,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
252,,2173367542140469780,APPROVED,CERTIFICATE_TESOURO_VERDE
253,,18324509924938180691,APPROVED,CERTIFICATE_TESOURO_VERDE
254,,8507463574019031219,APPROVED,CERTIFICATE_TESOURO_VERDE
255,,8591435414672762534,APPROVED,CERTIFICATE_TESOURO_VERDE
256,,5383309397220493664,APPROVED,CERTIFICATE_TESOURO_VERDE
257,,5723474556177688991,APPROVED,CERTIFICATE_TESOURO_VERDE
258,,13233402130197379758,APPROVED,CERTIFICATE_TESOURO_VERDE
259,,17690097116100205942,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
260,,5170943292847563186,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
261,,6839383095083598877,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
262,,12739650121365491612,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
263,,15808800321416104818,APPROVED,CERTIFICATE_TESOURO_VERDE
264,,7253499225682285142,APPROVED,CERTIFICATE_TESOURO_VERDE
265,,15858282951600589051,APPROVED,CERTIFICATE_TESOURO_VERDE
266,,9247404477976821352,APPROVED,CERTIFICATE_TESOURO_VERDE
267,,442768425309879410,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
268,,9496066486316554617,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
269,,17627143819800495334,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
270,,11598195452085088878,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
271,,8501311932231790183,APPROVED,CERTIFICATE_TESOURO_VERDE
272,,862036913154745172,APPROVED,CERTIFICATE_TESOURO_VERDE
273,,5669197557727356364,APPROVED,CERTIFICATE_TESOURO_VERDE
274,,8369965571852367212,APPROVED,CERTIFICATE_TESOURO_VERDE
275,,16474707511548432576,APPROVED,CERTIFICATE_TESOURO_VERDE
276,,17491992614132999512,APPROVED,CERTIFICATE_TESOURO_VERDE
277,,12805777792219815265,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
278,,13816823921998716761,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
279,,7451766755066839258,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
280,,3926789048872508127,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
281,,17181527948923374743,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
282,,8678633000560568713,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
283,,944736705630236294,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
284,,6718165496491404946,APPROVED,CERTIFICATE_TESOURO_VERDE
285,,17166297026042573684,APPROVED,CERTIFICATE_TESOURO_VERDE
286,,1577961215444669881,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
287,,241930052922327695,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
288,,11699564233406422242,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
289,,13626962381344988231,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
290,,4423499453466088129,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
291,,11891070698709030740,APPROVED,CERTIFICATE_TESOURO_VERDE
292,,7007012899073589597,APPROVED,CERTIFICATE_TESOURO_VERDE
293,,4065998367028616484,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
294,,15209751336259964338,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
295,,16187306461959696505,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
296,,10078318347085675100,APPROVED,CERTIFICATE_TESOURO_VERDE
297,,6229756634916275705,APPROVED,CERTIFICATE_TESOURO_VERDE
298,,15855784969094198753,APPROVED,CERTIFICATE_TESOURO_VERDE
299,,6863202321084547546,APPROVED,CERTIFICATE_TESOURO_VERDE
300,,3023994201372091067,APPROVED,CERTIFICATE_TESOURO_VERDE
301,,1101060516872273575,APPROVED,CERTIFICATE_TESOURO_VERDE
302,,6594653862484190125,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
303,,6886272427233080157,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
304,,7035132467811145594,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
305,,9283525063683198474,APPROVED,CERTIFICATE_TESOURO_VERDE
306,,13368376260256157458,APPROVED,CERTIFICATE_TESOURO_VERDE
307,,10030823158311940246,APPROVED,CERTIFICATE_TESOURO_VERDE
308,,874225766916452643,APPROVED,CERTIFICATE_TESOURO_VERDE
309,,18077837841177886911,APPROVED,CERTIFICATE_TESOURO_VERDE
310,,6002197189754012874,APPROVED,CERTIFICATE_TESOURO_VERDE
311,,7710949055911115447,APPROVED,CERTIFICATE_TESOURO_VERDE
312,,9566861695899903147,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
313,,9072910285402458778,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
314,,5975006373185439300,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
315,,10819385075033369114,APPROVED,CERTIFICATE_TESOURO_VERDE
316,,2188401901010013519,APPROVED,CERTIFICATE_TESOURO_VERDE
317,,1058156982086506143,APPROVED,CERTIFICATE_TESOURO_VERDE
318,,13533213050281051218,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
319,,15249998181972194740,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
320,,571252973990217658,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
321,,7766175964674791682,APPROVED,CERTIFICATE_TESOURO_VERDE
322,,13667268678191943864,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
323,,13306078682159726555,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
324,,2226965233581612816,APPROVED,CERTIFICATE_GENERAL_DISTRIBUTOR
325,,7965354450342954156,APPROVED,CERTIFICATE_TESOURO_VERDE
326,,3333130446269131537,APPROVED,CERTIFICATE_TESOURO_VERDE
