id,role_user_id,user_id,status,processing_message,reason,description,active,block,area_id,amount,created_by,created_date,last_modified_by,last_modified_date
100,,273,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendencia cadastral.",t,t,,,933,2023-03-16 11:39:27.793776,933,2023-03-16 11:39:27.793776
149,,19,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendência cadastral.",t,t,,,933,2023-03-16 16:25:26.907903,933,2023-03-16 16:25:26.907903
136,,139,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendência cadastral.",t,t,,,933,2023-03-16 14:39:39.113075,933,2023-03-16 14:39:39.113075
137,,149,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendência cadastral.",t,t,,,933,2023-03-16 14:40:41.952379,933,2023-03-16 14:40:41.952379
138,,151,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendência cadastral.",t,t,,,933,2023-03-16 14:41:24.364602,933,2023-03-16 14:41:24.364602
140,,156,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendência cadastral.",t,t,,,933,2023-03-16 14:43:47.733426,933,2023-03-16 14:43:47.733426
141,,161,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendência cadastral.",t,t,,,933,2023-03-16 14:44:39.391146,933,2023-03-16 14:44:39.391146
142,,164,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendência cadastral.",t,t,,,933,2023-03-16 14:45:43.198405,933,2023-03-16 14:45:43.198405
144,,173,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendência cadastral.",t,t,,,933,2023-03-16 14:48:30.072377,933,2023-03-16 14:48:30.072377
145,,183,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendência cadastral.",t,t,,,933,2023-03-16 14:52:18.691891,933,2023-03-16 14:52:18.691891
146,,189,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendência cadastral.",t,t,,,933,2023-03-16 14:52:43.97858,933,2023-03-16 14:52:43.97858
147,,193,FINISHED,,REGISTRATION_PENDING,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a pendência cadastral.",t,t,,,933,2023-03-16 14:53:25.927843,933,2023-03-16 14:53:25.927843
87,,914,FINISHED,,OTHERS,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a bloqueio estratégico BMV.",f,f,,,933,2023-03-16 11:27:30.876983,933,2023-05-18 10:52:28.934868
150,,26,FINISHED,,REGISTRATION_PENDING,Solicitação de Bloqueio em todos os perfis no dia 26/05,t,t,,,933,2023-05-26 15:35:17.495239,933,2023-05-26 15:35:17.495239
157,,166,FINISHED,,CONTRACT_CANCELLATION,VENDA DA PROPRIEDADE E PERDA DO INTERESSE NO PROJETO BMV - Solicitação por Luzia Umbelino na data 11/07/2023 através de e-mail,t,t,,,933,2023-07-11 10:30:41.505943,933,2023-07-11 10:30:41.505943
151,1495,,FINISHED,,OTHERS,Bloqueio estrategico para não venda dia 29/05/2023,f,f,,,933,2023-05-29 20:24:46.839929,933,2023-05-29 20:44:56.158569
158,,101,FINISHED,,CONTRACT_CANCELLATION,VENDA DA PROPRIEDADE E PERDA DO INTERESSE NO PROJETO BMV - Solicitação por Luzia Umbelino na data 11/07/2023 através de e-mail,t,t,,,933,2023-07-11 10:32:20.930054,933,2023-07-11 10:32:20.930054
153,,1200,FINISHED,,OTHERS,Decisão estratégica,f,f,,,933,2023-05-29 20:45:50.159006,933,2023-05-30 11:11:46.840934
154,,298,FINISHED,,OTHERS,"Solicitação de Bloqueio por Luzia Umbelino no dia 16/03/2023 , referente a bloqueio estratégico BMV.",t,t,,,933,2023-06-02 15:30:08.725788,933,2023-06-02 15:30:08.725788
159,,136,FINISHED,,CONTRACT_CANCELLATION,"Suspensão de contrato, autorizado por Luzia Umbelino no dia 12/07/2023 as 19:30h",f,f,,,933,2023-07-12 19:31:05.676925,933,2023-08-31 09:20:15.329299
152,,943,FINISHED,,OTHERS,Decisão estratégica,f,f,,,933,2023-05-29 20:45:19.733945,933,2023-06-22 09:47:03.246483
155,,916,FINISHED,,OTHERS,"Bloqueio estratégico solicitado pela diretoria, com aprovação no dia 23/06/2023 pela Luzia, solicitada por whatsapp",t,t,,,933,2023-06-23 15:42:31.013876,933,2023-06-23 15:42:31.013876
156,,148,FINISHED,,CONTRACT_CANCELLATION,VENDA DA PROPRIEDADE E PERDA DO INTERESSE NO PROJETO BMV - Solicitação via e-mail por Luzia Umbelino na data 11/07/2023,t,t,,,933,2023-07-11 10:26:51.635564,933,2023-07-11 10:26:51.635564
160,,136,FINISHED,,OTHERS,Bloqueio estratégico solicitado por Luzia Umbelino,t,t,,,933,2023-09-01 09:16:21.988475,933,2023-09-01 09:16:21.988475
166,1090,,FINISHED,,OTHERS,"Bloquei estratégico solicitado por Luzia Umbelino, para finalização de tramites da geração da safra de 2022",f,f,240,,933,2023-09-18 16:04:38.126559,933,2024-04-04 17:56:08.387554
167,1566,,FINISHED,,OTHERS,"Bloquei estratégico solicitado por Luzia Umbelino, para finalização de tramites da geração da safra de 2022",f,f,240,,933,2023-09-18 16:05:16.058914,933,2024-04-04 17:56:05.377969
161,3,,FINISHED,,OTHERS,Bloquei para pagamento de UCS a Mateus Santos.,f,f,243,,933,2023-09-16 20:12:31.268925,933,2023-09-16 20:13:35.875675
162,3,,FINISHED,,OTHERS,"Bloquei estratégico solicitado por Luzia Umbelino, para finalização de tramites da geração da safra de 2022",f,f,240,,933,2023-09-18 15:50:26.215681,933,2024-04-04 17:56:19.909655
163,834,,FINISHED,,OTHERS,"Bloquei estratégico solicitado por Luzia Umbelino, para finalização de tramites da geração da safra de 2022",f,f,240,,933,2023-09-18 15:58:02.94887,933,2024-04-04 17:56:17.070956
164,1088,,FINISHED,,OTHERS,"Bloquei estratégico solicitado por Luzia Umbelino, para finalização de tramites da geração da safra de 2022",f,f,240,,933,2023-09-18 16:03:45.498129,933,2024-04-04 17:56:13.869454
165,1089,,FINISHED,,OTHERS,"Bloquei estratégico solicitado por Luzia Umbelino, para finalização de tramites da geração da safra de 2022",f,f,240,,933,2023-09-18 16:04:12.186767,933,2024-04-04 17:56:11.113601
168,1585,,FINISHED,,OTHERS,"Bloquei estratégico solicitado por Luzia Umbelino, para finalização de tramites da geração da safra de 2022",f,f,240,,933,2023-09-18 16:05:42.339196,933,2024-04-04 17:56:00.053539
169,3,,FINISHED,,OTHERS,"Bloquei estratégico solicitado por Luzia Umbelino, para finalização de tramites da geração da safra de 2022",f,f,241,,933,2023-09-18 16:32:06.216628,933,2024-04-04 17:55:57.254824
170,834,,FINISHED,,OTHERS,"Bloquei estratégico solicitado por Luzia Umbelino, para finalização de tramites da geração da safra de 2022",f,f,241,,933,2023-09-18 16:38:28.205811,933,2024-04-04 17:55:53.238113
171,1088,,FINISHED,,OTHERS,"Bloquei estratégico solicitado por Luzia Umbelino, para finalização de tramites da geração da safra de 2022",f,f,241,,933,2023-09-18 16:42:50.951814,933,2024-04-04 17:55:49.975821
