id,account_code,parent_account,description,report_shows_number,reducing_account,created_by,created_date,last_modified_by,last_modified_date
10,2.1.4,5,(-) OUTRAS COMISSÕES,t,t,890,2022-09-15 17:04:14.145774,1339,2022-09-28 16:06:09.705972
21,2.4,4,(-) OUTROS CUSTOS E DESPESAS VARIÁVEIS,t,t,890,2022-09-15 17:11:28.874986,933,2022-09-30 11:30:22.408297
11,2.2,4,(-) IMPOSTOS,t,t,890,2022-09-15 17:04:46.994088,1339,2022-09-30 11:29:12.999995
15,2.2.4,11,(-) IMPOSTOS S/ SERVIÇOS DE TERCEIROS,t,t,890,2022-09-15 17:07:58.328052,933,2022-09-30 11:29:30.26522
16,2.3,4,(-) VENDA DE TERCEIROS,t,t,890,2022-09-15 17:08:31.155377,933,2022-09-30 11:29:40.821827
17,2.3.1,16,"(-) ROYALTIES, DAR, DARE - TESVER",t,t,890,2022-09-15 17:09:24.249989,933,2022-09-30 11:29:52.175635
18,2.3.2,16,(-) FORNECEDORES,t,t,890,2022-09-15 17:09:50.631962,933,2022-09-30 11:30:02.785963
14,2.2.2,11,(-) ESTADUAIS,t,t,890,2022-09-15 17:06:56.522934,1339,2022-09-30 11:30:03.573286
22,1.2,1,ANTECIPAÇÕES CLIENTES (OPÇÃO DE COMPRA ETC),t,f,1339,2022-09-15 17:12:21.767682,933,2022-09-30 11:30:34.698558
34,4.1.1,33,(-) SALÁRIOS,t,t,1339,2022-09-15 17:28:21.151525,1339,2022-09-28 16:16:00.912552
35,4.1.2,33,(-) 13° SALÁRIO,t,t,1339,2022-09-15 17:30:49.378014,1339,2022-09-28 16:16:19.339745
37,4.1.4,33,(-) ALIMENTAÇÃO COLABORADORES,t,t,1339,2022-09-15 17:44:49.28343,1339,2022-09-28 16:17:22.535961
38,4.1.5,33,(-) BOLSA AUXÍLIO - ESTAGIÁRIOS,t,t,1339,2022-09-15 17:46:43.175098,1339,2022-09-28 16:17:40.206621
39,4.1.6,33,(-) CONTRIBUIÇÃO SINDICAL,t,t,1339,2022-09-15 17:47:31.193423,1339,2022-09-28 16:17:58.166068
